SAT,GPA,merit,enroll
0.874137931034483,0.7704918032786889,1.64,0
0.9172413793103451,0.8852459016393446,0.52,0
0.8396551724137931,0.7978142076502734,1.67,0
0.4465517241379313,0.40437158469945333,1.21,1
0.6103448275862071,0.5901639344262297,1.65,1
0.5758620689655172,0.49726775956284164,0.0,0
0.2155172413793105,0.2295081967213113,1.68,1
0.31034482758620685,0.2786885245901638,0.0,1
0.16896551724137931,0.32786885245901654,0.0,1
0.20000000000000018,0.3497267759562843,0.0,1
0.8827586206896552,0.8579234972677596,0.0,0
0.5724137931034483,0.5737704918032787,1.02,0
0.5275862068965518,0.6284153005464481,1.12,0
0.7224137931034482,0.6557377049180326,1.74,0
0.9568965517241379,0.8743169398907107,0.0,0
0.7000000000000002,0.5628415300546448,1.03,0
0.11724137931034484,0.20218579234972678,1.04,1
0.9258620689655173,0.9180327868852463,2.49,0
0.1827586206896552,0.18579234972677572,1.99,1
0.853448275862069,0.7486338797814212,0.0,0
0.9120689655172414,0.8633879781420768,1.77,0
0.374137931034483,0.4262295081967211,0.0,1
0.7293103448275864,0.5956284153005464,1.36,0
0.05344827586206913,0.15300546448087404,2.19,1
0.32413793103448274,0.38251366120218555,1.8,1
0.03275862068965529,0.09836065573770503,1.02,1
0.9551724137931035,0.8743169398907107,0.0,0
0.6775862068965517,0.7322404371584699,2.0,0
0.3465517241379312,0.35519125683060104,0.0,1
0.9879310344827585,0.8360655737704918,0.66,0
0.6258620689655174,0.6229508196721314,1.28,0
0.02931034482758621,0.04371584699453557,0.0,1
0.5034482758620689,0.4426229508196722,0.0,0
0.005172413793103514,0.07650273224043724,0.0,1
0.7568965517241382,0.6229508196721314,1.84,0
0.9689655172413794,0.8032786885245902,1.19,0
0.9379310344827587,0.8087431693989073,2.22,0
0.7017241379310346,0.6284153005464481,0.59,0
0.9155172413793102,0.8907103825136613,0.0,0
0.13275862068965516,0.12021857923497237,0.0,1
0.6379310344827589,0.5792349726775958,0.54,0
0.317241379310345,0.34426229508196715,0.0,1
0.8379310344827586,0.841530054644809,2.19,0
0.5155172413793103,0.4098360655737705,2.14,1
0.9758620689655175,0.841530054644809,1.68,0
0.7000000000000002,0.6174863387978142,1.78,0
0.42586206896551726,0.4316939890710383,0.89,1
0.7517241379310344,0.639344262295082,2.35,1
0.44482758620689644,0.39344262295081944,1.35,1
0.5051724137931037,0.5901639344262297,1.34,1
0.6224137931034481,0.5628415300546448,1.34,0
0.5827586206896553,0.5300546448087431,1.17,1
0.2396551724137932,0.3387978142076504,0.77,1
0.7637931034482759,0.6010928961748636,0.0,0
0.14137931034482776,0.2622950819672132,0.0,1
0.22241379310344844,0.2732240437158471,0.0,1
0.31034482758620685,0.38251366120218555,1.27,1
